"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"AM_DOWNSHIFT","LINK BASED","CTG_X9003_NE_1","12-ISV3","CTG_X9003_NE_1-CTG_X1529_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","RAJ_X0915_NE_2","LINK AGGREGATION GROUP:(1:)","","RAJ_X0915_NE_2"
"MW_LOF","LINK BASED","RAJ_X1055_NE_2","3-ISV3","RAJ_X1055_NE_2-RAJ_X0166_NE_4",""
"MW_LOF","LINK BASED","RAJ_X1055_NE_2","5-ISV3","RAJ_X1055_NE_2-RAJ_X0166_NE_4",""
"MW_BER_SD","LINK BASED","RAJ_X1055_NE_2","4-ISV3","RAJ_X1055_NE_2-RAJ_X0166_NE_4",""
"MW_BER_SD","LINK BASED","RAJ_X1055_NE_2","6-ISV3","RAJ_X1055_NE_2-RAJ_X0166_NE_4",""
"POWER_ABNORMAL","NE BASED","RAJ_G1186_NE_1","9-PIU","","RAJ_G1186_NE_1"
"LAG_MEMBER_DOWN","NE BASED","RAJ_X0692_NE_5","LINK AGGREGATION GROUP:(1:)","","RAJ_X0692_NE_5"
"LAG_DOWN","NE BASED","RAJ_X0692_NE_5","LINK AGGREGATION GROUP:(1:)","","RAJ_X0692_NE_5"
"POWER_ABNORMAL","NE BASED","CTG_R1763_NE_1","9-PIU","","CTG_R1763_NE_1"
"MW_LOF","LINK BASED","DHK_X3370_NE_2","5-ISV3","DHK_X3370_NE_2-RAJ_X1271_NE_1",""
"IF_CABLE_OPEN","LINK BASED","DHK_X3370_NE_2","5-ISV3","DHK_X3370_NE_2-RAJ_X1271_NE_1",""
"MW_RDI","LINK BASED","SYL_X0221_NE_1","3-ISV3","SYL_X0221_NE_1-SYL_X0544_NE_1",""
"AM_DOWNSHIFT","LINK BASED","SYL_X0544_NE_1","2-ISV3","SYL_X0544_NE_1-SYL_X0221_NE_1",""
"MW_LOF","LINK BASED","SYL_X0544_NE_1","2-ISV3","SYL_X0544_NE_1-SYL_X0221_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","DHK_X1834_NE_1","LINK AGGREGATION GROUP:(1:RTN-Router)","","DHK_X1834_NE_1"
"POWER_ABNORMAL","NE BASED","RAJ_R1811_NE_1","9-PIU","","RAJ_R1811_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_X0930_NE_3","5-PIU","","CTG_X0930_NE_3"
"POWER_ABNORMAL","NE BASED","CTG_X0086_NE_1","9-PIU","","CTG_X0086_NE_1"
"FAN_FAIL","NE BASED","CTG_X0416_NE_1","11-FAN","","CTG_X0416_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_X0807_NE_1","9-PIU","","CTG_X0807_NE_1"
"AM_DOWNSHIFT","LINK BASED","BAR_X0109_NE_1","5-ISV3","BAR_X0109_NE_1-BAR_X0122_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0122_NE_1","5-ISV3","BAR_X0122_NE_1-BAR_X0109_NE_1",""
"POWER_ABNORMAL","NE BASED","CTG_G1824_NE_1","9-PIU","","CTG_G1824_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_X0010_NE_1","9-PIU","","CTG_X0010_NE_1"
"AM_DOWNSHIFT","LINK BASED","SYL_X0054_NE_1","2-ISV3","SYL_X0054_NE_1-SYL_X0288_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X1073_NE_1","3-ISV3","CTG_X1073_NE_1-CTG_X0855_NE_2",""
"VOLT_LOS","LINK BASED","BAR_X0096_NE_3","6-ISV3","BAR_X0096_NE_3-BAR_X0205_NE_1",""
"MW_LOF","LINK BASED","BAR_X0096_NE_3","6-ISV3","BAR_X0096_NE_3-BAR_X0205_NE_1",""
"POWER_ABNORMAL","NE BASED","CTG_R9039_NE_1","9-PIU","","CTG_R9039_NE_1"
"AM_DOWNSHIFT","LINK BASED","CTG_X1074_NE_2","3-ISV3","CTG_X1074_NE_2-CTG_M0528_NE_1",""
"POWER_ABNORMAL","NE BASED","RAJ_R1830_NE_1","5-PIU","","RAJ_R1830_NE_1"
"MW_CFG_MISMATCH","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"MW_BER_SD","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"MW_BER_SD","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","BAR_X0059_NE_1","LINK AGGREGATION GROUP:(2:)","","BAR_X0059_NE_1"
"LAG_MEMBER_DOWN","NE BASED","BAR_X0059_NE_3","LINK AGGREGATION GROUP:(1:)","","BAR_X0059_NE_3"
"FAN_FAIL","NE BASED","CTG_W0727_NE_1","11-FAN","","CTG_W0727_NE_1"
"AM_DOWNSHIFT","LINK BASED","KHU_X0299_NE_1","3-ISM6","KHU_X0299_NE_1-KHU_X0155_NE_2",""
"AM_DOWNSHIFT","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"HARD_BAD","BOTH (LINK BASED)","KHU_R1558_NE_1","3-ISV3","KHU_R1558_NE_1-KHU_X0887_NE_1",""
"HARD_BAD","BOTH (LINK BASED)","CTG_X0502_NE_1","4-ISV3","CTG_X0502_NE_1-CTG_X0361_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_R0781_NE_1","4-ISV3","CTG_R0781_NE_1-BTRM01_NE_1",""
