"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"POWER_ABNORMAL","NE BASED","BAR_X0168_NE_1","9-PIU","","BAR_X0168_NE_1"
"AM_DOWNSHIFT","LINK BASED","RAJ_X1285_NE_2","4-ISV3","RAJ_X1285_NE_2-RAJ_X0434_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0400_NE_2","3-ISV3","CTG_X0400_NE_2-CTG_X0873_NE_1",""
"MAC_FCS_EXC","LINK BASED","RAJ_R1758_NE_1","3-ISV3","RAJ_R1758_NE_1-RAJ_X0214_NE_1",""
"MW_BER_SD","LINK BASED","CTG_X1543_NE_2","5-ISV3","CTG_X1543_NE_2-CTG_X0239_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X1198_NE_1","5-ISV3","RAJ_X1198_NE_1-RAJ_X0312_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0143_NE_3","13-ISV3","BAR_X0143_NE_3-BAR_X0045_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0320_NE_1","3-ISV3","CTG_X0320_NE_1-CTG_X0008_NE_1",""
"MAC_EXT_EXC","LINK BASED","CTG_X0600_NE_2","17-EG6","CTG_X0600_NE_2-FNFHC0600",""
"MAC_EXT_EXC","LINK BASED","RAJ_R1758_NE_1","3-ISV3","RAJ_R1758_NE_1-RAJ_X0214_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_W1961_NE_1","3-ISV3","CTG_W1961_NE_1-CTG_X0696_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0505_NE_1","3-ISV3","RAJ_X0505_NE_1-RAJ_X0162_NE_2",""
"HARD_BAD","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"AM_DOWNSHIFT","LINK BASED","CTG_X0066_NE_1","3-ISV3","CTG_X0066_NE_1-CTG_X1076_NE_1",""
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"AM_DOWNSHIFT","LINK BASED","CTG_R2103_NE_1","3-ISV3","CTG_R2103_NE_1-CTG_W0035_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_R9040_NE_2","3-ISV3","CTG_R9040_NE_2-CTG_R9046_NE_1",""
"AM_DOWNSHIFT","LINK BASED","DHK_X3787_NE_2","7-ISM6","DHK_X3787_NE_2-_DHK_X5242_NE_1",""
"AM_DOWNSHIFT","LINK BASED","DHK_X5108_NE_1","4-ISV3","DHK_X5108_NE_1-DHK_X5242_NE_1",""
"MW_LOF","LINK BASED","DHK_X3787_NE_2","7-ISM6","DHK_X3787_NE_2-_DHK_X5242_NE_1",""
"MW_LOF","LINK BASED","DHK_X5108_NE_1","4-ISV3","DHK_X5108_NE_1-DHK_X5242_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0259_NE_2","3-ISV3","RAJ_X0259_NE_2-RAJ_X0428_NE_2",""
"MW_LOF","LINK BASED","RAJ_X0259_NE_2","3-ISV3","RAJ_X0259_NE_2-RAJ_X0428_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0451_NE_1","3-ISV3","RAJ_X0451_NE_1-RAJ_X9010_NE_1",""
"AM_DOWNSHIFT","LINK BASED","SYL_X0031_NE_1","13-ISV3","SYL_X0031_NE_1-SYL_X0453_NE_1",""
"HARD_BAD","BOTH (LINK BASED)","CTG_X0610_NE_1","6-ISV3","CTG_X0610_NE_1-CTG_X0755_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0370_NE_1","3-ISV3","CTG_X0370_NE_1-CTG_X1034_NE_1",""
"BUS_ERR","BOTH (NE BASED)","DHK_X9035_NE_2","15-CSHN","","DHK_X9035_NE_2"
"MW_BER_SD","LINK BASED","RAJ_R1758_NE_1","3-ISV3","RAJ_R1758_NE_1-RAJ_X0214_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0317_NE_1","9-ISV3","RAJ_X0317_NE_1-RAJ_X0103_NE_1",""
"MAC_FCS_EXC","LINK BASED","CTG_X0600_NE_2","17-EG6","CTG_X0600_NE_2-FNFHC0600",""
"LAG_MEMBER_DOWN","NE BASED","RAJ_X0586_NE_1","LINK AGGREGATION GROUP:(1:)","","RAJ_X0586_NE_1"
"MW_BER_SD","LINK BASED","SYL_X0451_NE_2","6-ISV3","SYL_X0451_NE_2-_SYL_X0274_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0387_NE_1","13-ISV3","RAJ_X0387_NE_1-RAJ_X0075_NE_1",""
"MAC_FCS_EXC","LINK BASED","CTG_G1122_NE_1","17-EG6","CTG_G1122_NE_1-MB_00",""
"POWER_ABNORMAL","NE BASED","CTG_W1931_NE_1","9-PIU","","CTG_W1931_NE_1"
"AM_DOWNSHIFT","LINK BASED","SYL_X0140_NE_1","4-ISV3","SYL_X0140_NE_1-SYL_X0502_NE_1",""
"AM_DOWNSHIFT","LINK BASED","SYL_X0511_NE_2","5-ISV3","SYL_X0511_NE_2-SYL_X0502_NE_1",""
"MW_LOF","LINK BASED","SYL_X0511_NE_2","5-ISV3","SYL_X0511_NE_2-SYL_X0502_NE_1",""
"MW_LOF","LINK BASED","SYL_X0140_NE_1","4-ISV3","SYL_X0140_NE_1-SYL_X0502_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X9018_NE_1","7-ISV3","RAJ_X9018_NE_1-RAJ_X0158_NE_1",""
"MAC_EXT_EXC","LINK BASED","CTG_X0353_NE_1","17-EG6","CTG_X0353_NE_1-FNFHC0600",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0416_NE_1","3-ISV3","CTG_X0416_NE_1-CTG_X9004_NE_1",""
"BD_STATUS","BOTH (NE BASED)","DHK_R2927_NE_1","1-SP3S","","DHK_R2927_NE_1"
"AM_DOWNSHIFT","LINK BASED","RAJ_X0499_NE_1","1-ISV3","RAJ_X0499_NE_1-RAJ_G1609_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_G1582_NE_1","3-ISV3","RAJ_G1582_NE_1-RAJ_X0546_NE_1",""
"MAC_EXT_EXC","LINK BASED","RAJ_X1333_NE_1","17-EG6","RAJ_X1333_NE_1-RAJ_X1333_NE_2",""
"MAC_FCS_EXC","LINK BASED","RAJ_X0089_NE_2","17-EG6","RAJ_X0089_NE_2-F06",""
"MAC_EXT_EXC","LINK BASED","RAJ_X0261_NE_1","17-EG6","RAJ_X0261_NE_1-F06",""
"MAC_FCS_EXC","LINK BASED","RAJ_X0261_NE_1","17-EG6","RAJ_X0261_NE_1-F06",""
"MW_BER_SD","LINK BASED","BAR_X0174_NE_2","5-ISV3","BAR_X0174_NE_2-BAR_X0043_NE_1",""
"MAC_FCS_EXC","LINK BASED","CTG_X0353_NE_1","17-EG6","CTG_X0353_NE_1-FNFHC0600",""
